clipno_overall,run,clipno_in_run,clip_name,start_tr,stop_tr
1,MOVIE1_7T_AP,1,twomen,20,265
2,MOVIE1_7T_AP,2,bridgeville,285,506
3,MOVIE1_7T_AP,3,pockets,526,714
4,MOVIE1_7T_AP,4,overcome,735,798
5,MOVIE1_7T_AP,5,testretest1,818,901
6,MOVIE2_7T_PA,1,inception,20,248
7,MOVIE2_7T_PA,2,socialnet,267,526
8,MOVIE2_7T_PA,3,oceans,545,795
9,MOVIE2_7T_PA,4,testretest2,815,898
10,MOVIE3_7T_PA,1,flower,20,200
11,MOVIE3_7T_PA,2,hotel,220,405
12,MOVIE3_7T_PA,3,garden,425,628
13,MOVIE3_7T_PA,4,dreary,650,793
14,MOVIE3_7T_PA,5,testretest3,812,895
15,MOVIE4_7T_AP,1,homealone,20,254
16,MOVIE4_7T_AP,2,brokovich,272,503
17,MOVIE4_7T_AP,3,starwars,522,777
18,MOVIE4_7T_AP,4,testretest4,798,881